[2025-07-21 15:33:07] - Event: Smoke | Confidence: 56.20% | Video: test1.mp4
[2025-07-21 15:33:07] - Event: Smoke | Confidence: 57.55% | Video: test1.mp4
[2025-07-21 15:33:07] - Event: Smoke | Confidence: 57.53% | Video: test1.mp4
[2025-07-21 15:33:07] - Event: Smoke | Confidence: 57.42% | Video: test1.mp4
[2025-07-21 15:33:07] - Event: Smoke | Confidence: 57.35% | Video: test1.mp4
[2025-07-21 15:33:07] - Event: Smoke | Confidence: 57.21% | Video: test1.mp4
[2025-07-21 15:33:07] - Event: Smoke | Confidence: 57.00% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.89% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.54% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.28% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.30% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.23% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.33% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.17% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.02% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 55.87% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.05% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.37% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.51% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.29% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.27% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.17% | Video: test1.mp4
[2025-07-21 15:33:08] - Event: Smoke | Confidence: 56.32% | Video: test1.mp4
[2025-07-21 15:33:09] - Event: Smoke | Confidence: 56.50% | Video: test1.mp4
[2025-07-21 15:33:09] - Event: Smoke | Confidence: 56.35% | Video: test1.mp4
[2025-07-21 15:33:09] - Event: Smoke | Confidence: 56.05% | Video: test1.mp4
[2025-07-21 15:33:09] - Event: Smoke | Confidence: 56.06% | Video: test1.mp4
[2025-07-21 15:33:09] - Event: Smoke | Confidence: 56.15% | Video: test1.mp4
[2025-07-21 15:33:09] - Event: Smoke | Confidence: 56.12% | Video: test1.mp4
[2025-07-21 15:33:09] - Event: Smoke | Confidence: 55.99% | Video: test1.mp4
[2025-07-21 15:33:09] - Event: Smoke | Confidence: 55.27% | Video: test1.mp4
[2025-07-21 15:33:09] - Event: Smoke | Confidence: 55.04% | Video: test1.mp4
[2025-07-21 15:33:09] - Event: Smoke | Confidence: 55.04% | Video: test1.mp4
[2025-07-21 15:33:09] - Event: Smoke | Confidence: 54.97% | Video: test1.mp4
[2025-07-21 15:33:09] - Event: Smoke | Confidence: 55.23% | Video: test1.mp4
[2025-07-21 15:33:09] - Event: Smoke | Confidence: 55.41% | Video: test1.mp4
[2025-07-21 15:33:09] - Event: Smoke | Confidence: 55.20% | Video: test1.mp4
